gene_id,cosmic_gene_symbol,ensembl_gene_id,entrez_id,hgnc_id,hgnc_symbol,refseq_id,uniprot_id
SIDG04653,CHST11,ENSG00000171310,50515.0,HGNC:17422,CHST11,NM_018413,Q9NPF2
SIDG04654,CHST12,ENSG00000136213,55501.0,HGNC:17423,CHST12,NM_018641,Q9NRB3
SIDG04655,CHST13,ENSG00000180767,166012.0,HGNC:21755,CHST13,NM_152889,Q8NET6
SIDG04656,CHST14,ENSG00000169105,113189.0,HGNC:24464,CHST14,NM_130468,Q8NCH0
SIDG04657,CHST15,ENSG00000182022,51363.0,HGNC:18137,CHST15,NM_015892,Q7LFX5
SIDG04658,CHSY1,ENSG00000131873,22856.0,HGNC:17198,CHSY1,NM_014918,Q86X52
SIDG04659,CHSY3,ENSG00000198108,337876.0,HGNC:24293,CHSY3,NM_175856,Q70JA7
SIDG04660,CHTF8,ENSG00000168802,54921.0,HGNC:24353,CHTF8,NM_017804,P0CG12
SIDG04661,,ENSG00000233543,677883.0,HGNC:35443,CHTF8P1,NG_005539,
SIDG04662,CHTF18,ENSG00000127586,63922.0,HGNC:18435,CHTF18,NM_022092,Q8WVB6
SIDG04663,CHTOP,ENSG00000160679,26097.0,HGNC:24511,CHTOP,NM_015607,Q9Y3Y2
SIDG04664,CHUK,ENSG00000213341,1147.0,HGNC:1974,CHUK,NM_001278,O15111
SIDG04665,CHURC1,ENSG00000258289,91612.0,HGNC:20099,CHURC1,NM_145165,Q8WUH1
SIDG04666,,ENSG00000125954,100529261.0,HGNC:42960,CHURC1-FNTB,NM_001202558,
SIDG04667,CIAO1,ENSG00000144021,9391.0,HGNC:14280,CIAO1,NM_004804,O76071
SIDG04668,CIAPIN1,ENSG00000005194,57019.0,HGNC:28050,CIAPIN1,NM_020313,Q6FI81
SIDG04669,,ENSG00000263846,728599.0,HGNC:31087,CIAPIN1P,NG_008808,
SIDG04670,,ENSG00000159208,148523.0,HGNC:25200,CIART,NM_144697,Q8N365
SIDG04671,CIB1,ENSG00000185043,10519.0,HGNC:16920,CIB1,NM_001277764,Q99828
SIDG04672,CIB2,ENSG00000136425,10518.0,HGNC:24579,CIB2,NM_006383,O75838
SIDG04673,CIB3,ENSG00000141977,117286.0,HGNC:24580,CIB3,NM_054113,Q96Q77
SIDG04674,CIB4,ENSG00000157884,130106.0,HGNC:33703,CIB4,NM_001029881,A0PJX0
SIDG04675,CIC,ENSG00000079432,23152.0,HGNC:14214,CIC,NM_001304815,Q96RK0
SIDG04676,,ENSG00000233652,360017.0,HGNC:23936,CICP1,NG_002935,
SIDG04677,,ENSG00000233740,360016.0,HGNC:23935,CICP2,NG_002934,
SIDG04678,,ENSG00000229376,100132630.0,HGNC:37742,CICP3,NG_016558,
SIDG04679,,ENSG00000232852,100132920.0,HGNC:37753,CICP4,NG_016559,
SIDG04680,,ENSG00000233771,730978.0,HGNC:37754,CICP5,NG_016560,
SIDG04681,,ENSG00000230304,100507251.0,HGNC:37755,CICP6,NG_028737,
SIDG04682,,ENSG00000233653,100288667.0,HGNC:37756,CICP7,NG_028822,
SIDG04683,,ENSG00000225371,442676.0,HGNC:37757,CICP8,NG_027793,
SIDG04684,,ENSG00000228882,100420293.0,HGNC:37758,CICP9,NG_025428,
SIDG04685,,ENSG00000224160,100462787.0,HGNC:37901,CICP10,NG_021554,
SIDG04686,,ENSG00000237799,100288904.0,HGNC:37903,CICP11,NG_022989,
SIDG04687,,ENSG00000225270,100420224.0,HGNC:37905,CICP12,NG_022557,
SIDG04688,,ENSG00000234419,728615.0,HGNC:37907,CICP13,NG_022827,
SIDG04689,,ENSG00000281490,100130600.0,HGNC:38542,CICP14,NG_023445,
SIDG04690,,,100507648.0,HGNC:38549,CICP15,NG_028182,
SIDG04691,,ENSG00000248213,100420203.0,HGNC:38550,CICP16,NG_022032,
SIDG04692,,ENSG00000227233,642663.0,HGNC:48827,CICP17,NG_028679,
SIDG04693,,ENSG00000217929,646070.0,HGNC:48828,CICP18,NG_022338,
SIDG04694,,ENSG00000282059,100506706.0,HGNC:48829,CICP19,NG_028701,
SIDG04695,,ENSG00000235955,100129050.0,HGNC:48830,CICP20,NG_022532,
SIDG04696,,,100420263.0,HGNC:48836,CICP21,NG_027229,
SIDG04697,,ENSG00000226220,100288083.0,HGNC:48838,CICP22,NG_028664,
SIDG04698,,ENSG00000270921,100505953.0,HGNC:48833,CICP23,NG_027976,
SIDG04699,,ENSG00000271466,107986730.0,HGNC:48831,CICP24,XR_002956501,
SIDG04700,,,100289383.0,HGNC:48837,CICP25,NG_027975,
SIDG04701,,ENSG00000233003,648262.0,HGNC:48834,CICP26,NG_022756,
SIDG04702,,ENSG00000233750,100420257.0,HGNC:48835,CICP27,NG_027060,
SIDG04703,,,100287136.0,HGNC:48832,CICP28,NG_022558,
SIDG04704,CIDEA,ENSG00000176194,1149.0,HGNC:1976,CIDEA,NM_001279,O60543
SIDG04705,CIDEB,ENSG00000136305,27141.0,HGNC:1977,CIDEB,NM_001318807,Q9UHD4
SIDG04706,CIDEC,ENSG00000187288,63924.0,HGNC:24229,CIDEC,NM_022094,Q96AQ7
SIDG04707,,ENSG00000186162,152302.0,HGNC:24230,CIDECP,NR_002786,
SIDG04708,CIITA,ENSG00000179583,4261.0,HGNC:7067,CIITA,NM_000246,P33076
SIDG04709,CILP,ENSG00000138615,8483.0,HGNC:1980,CILP,NM_003613,O75339
SIDG04710,CILP2,ENSG00000160161,148113.0,HGNC:24213,CILP2,NM_153221,Q8IUL8
SIDG04711,CINP,ENSG00000100865,51550.0,HGNC:23789,CINP,NM_032630,Q9BW66
SIDG04712,,ENSG00000163507,57650.0,HGNC:29302,CIP2A,NM_020890,Q8TCG1
SIDG04713,,ENSG00000198894,85457.0,HGNC:20365,CIPC,NM_033426,Q9C0C6
SIDG04714,,,,HGNC:1981,CIPO,,
SIDG04715,CIR1,ENSG00000138433,9541.0,HGNC:24217,CIR1,NM_004882,Q86X95
SIDG04716,,ENSG00000253146,100131740.0,HGNC:44011,CIR1P1,NG_021866,
SIDG04717,,ENSG00000250215,100131828.0,HGNC:44012,CIR1P2,NG_022027,
SIDG04718,,ENSG00000216708,106480783.0,HGNC:44013,CIR1P3,NG_044033,
SIDG04719,CIRBP,ENSG00000099622,1153.0,HGNC:1982,CIRBP,NM_001280,Q14011
SIDG04720,,ENSG00000267493,148046.0,HGNC:28588,CIRBP-AS1,NR_027271,Q8TBR5
SIDG04721,CISD1,ENSG00000122873,55847.0,HGNC:30880,CISD1,NM_018464,Q9NZ45
SIDG04722,CISD1P1,ENSG00000213403,130500.0,HGNC:29611,CISD1P1,NG_005172,
SIDG04723,CISD2,ENSG00000145354,493856.0,HGNC:24212,CISD2,NM_001008388,Q8N5K1
SIDG04724,CISD3,ENSG00000277972,284106.0,HGNC:27578,CISD3,NM_001136498,P0C7P0
SIDG04725,CISH,ENSG00000114737,1154.0,HGNC:1984,CISH,NM_145071,Q9NSE2
SIDG04726,,ENSG00000260492,102216268.0,HGNC:49426,CISTR,NR_104332,
SIDG04727,CIT,ENSG00000122966,11113.0,HGNC:1985,CIT,NM_007174,O14578
SIDG04728,CITED1,ENSG00000125931,4435.0,HGNC:1986,CITED1,NM_004143,Q99966
SIDG04729,CITED2,ENSG00000164442,10370.0,HGNC:1987,CITED2,NM_001168388,Q99967
SIDG04730,CITED4,ENSG00000179862,163732.0,HGNC:18696,CITED4,NM_133467,Q96RK1
SIDG04731,CIZ1,ENSG00000148337,25792.0,HGNC:16744,CIZ1,NM_012127,Q9ULV3
SIDG04732,CKAP2,ENSG00000136108,26586.0,HGNC:1990,CKAP2,NM_001098525,Q8WWK9
SIDG04733,CKAP2L,ENSG00000169607,150468.0,HGNC:26877,CKAP2L,NM_152515,Q8IYA6
SIDG04734,,ENSG00000258722,100420763.0,HGNC:49923,CKAP2P1,NG_027249,
SIDG04735,CKAP4,ENSG00000136026,10970.0,HGNC:16991,CKAP4,NM_006825,Q07065
SIDG04736,CKAP5,ENSG00000175216,9793.0,HGNC:28959,CKAP5,NM_014756,Q14008
SIDG04737,CKB,ENSG00000166165,1152.0,HGNC:1991,CKB,NM_001823,P12277
SIDG04738,,,1156.0,HGNC:1992,CKBE,,
SIDG04739,,ENSG00000260889,1157.0,HGNC:1993,CKBP1,NG_001535,
SIDG04740,CKLF,ENSG00000217555,51192.0,HGNC:13253,CKLF,NM_016326,Q9UBR5
SIDG04741,,ENSG00000254788,100529251.0,HGNC:39977,CKLF-CMTM1,NM_001202509,
SIDG04742,CKM,ENSG00000104879,1158.0,HGNC:1994,CKM,NM_001824,P06732
SIDG04743,CKMT1A,ENSG00000223572,548596.0,HGNC:31736,CKMT1A,NM_001015001,P12532
SIDG04744,CKMT1B,ENSG00000237289,1159.0,HGNC:1995,CKMT1B,NM_020990,P12532
SIDG04745,CKMT2,ENSG00000131730,1160.0,HGNC:1996,CKMT2,NM_001825,P17540
SIDG04746,,ENSG00000247572,100131067.0,HGNC:48997,CKMT2-AS1,NR_034121,
SIDG04747,CKS1B,ENSG00000173207,1163.0,HGNC:19083,CKS1B,NM_001826,P61024
SIDG04748,,ENSG00000258788,317780.0,HGNC:20004,CKS1BP1,NG_002475,
SIDG04749,,ENSG00000225976,246714.0,HGNC:24232,CKS1BP2,NG_001578,
SIDG04750,,ENSG00000268942,246715.0,HGNC:24233,CKS1BP3,NG_001579,
SIDG04751,,,100499259.0,HGNC:17395,CKS1BP4,NG_023440,
SIDG04752,,ENSG00000250972,100526793.0,HGNC:17640,CKS1BP5,NG_027929,
SIDG04753,,ENSG00000178556,652904.0,HGNC:24608,CKS1BP6,NG_012762,
SIDG04754,,ENSG00000254331,137529.0,HGNC:1999,CKS1BP7,NG_001577,
SIDG04755,CKS2,ENSG00000123975,1164.0,HGNC:2000,CKS2,NM_001827,P33552
SIDG04756,,,1167.0,HGNC:2004,CLA3,,
SIDG04757,,,373073.0,HGNC:20394,CLAM,,
SIDG04758,CLASP1,ENSG00000074054,23332.0,HGNC:17088,CLASP1,NM_015282,Q7Z460
SIDG04759,CLASP2,ENSG00000163539,23122.0,HGNC:17078,CLASP2,NM_001207044,O75122
SIDG04760,CLASRP,ENSG00000104859,11129.0,HGNC:17731,CLASRP,NM_007056,Q8N2M8
SIDG04761,,ENSG00000140104,122616.0,HGNC:20126,CLBA1,NM_174891,Q96F83
SIDG04762,CLC,ENSG00000105205,1178.0,HGNC:2014,CLC,NM_001828,Q05315
SIDG04763,CLCA1,ENSG00000016490,1179.0,HGNC:2015,CLCA1,NM_001285,A8K7I4
SIDG04764,CLCA2,ENSG00000137975,9635.0,HGNC:2016,CLCA2,NM_006536,Q9UQC9
SIDG04765,CLCA3P,ENSG00000153923,9629.0,HGNC:2017,CLCA3P,NM_004921,Q9Y6N3
SIDG04766,CLCA4,ENSG00000016602,22802.0,HGNC:2018,CLCA4,NM_012128,Q14CN2
SIDG04767,CLCC1,ENSG00000121940,23155.0,HGNC:29675,CLCC1,NM_015127,Q96S66
SIDG04768,CLCF1,ENSG00000175505,23529.0,HGNC:17412,CLCF1,NM_013246,Q9UBD9
SIDG04769,CLCN1,ENSG00000188037,1180.0,HGNC:2019,CLCN1,NM_000083,P35523
SIDG04770,CLCN2,ENSG00000114859,1181.0,HGNC:2020,CLCN2,NM_001171087,P51788
SIDG04771,CLCN3,ENSG00000109572,1182.0,HGNC:2021,CLCN3,NM_001243372,P51790
SIDG04772,,ENSG00000232000,100419056.0,HGNC:49775,CLCN3P1,NG_023786,
SIDG04773,CLCN4,ENSG00000073464,1183.0,HGNC:2022,CLCN4,NM_001256944,P51793
SIDG04774,CLCN5,ENSG00000171365,1184.0,HGNC:2023,CLCN5,NM_000084,P51795
SIDG04775,CLCN6,ENSG00000011021,1185.0,HGNC:2024,CLCN6,NM_001286,P51797
SIDG04776,CLCN7,ENSG00000103249,1186.0,HGNC:2025,CLCN7,NM_001287,P51798
SIDG04777,CLCNKA,ENSG00000186510,1187.0,HGNC:2026,CLCNKA,NM_001042704,P51800
SIDG04778,CLCNKB,ENSG00000184908,1188.0,HGNC:2027,CLCNKB,NM_000085,P51801
SIDG04779,,,,HGNC:2028,CLCNL1,,
SIDG04780,,,,HGNC:2029,CLCNL2,,
SIDG04781,,ENSG00000232305,266626.0,HGNC:19257,CLCP1,NG_002369,
SIDG04782,,ENSG00000226158,100128145.0,HGNC:42536,CLCP2,NG_011415,
SIDG04783,CLDN1,ENSG00000163347,9076.0,HGNC:2032,CLDN1,NM_021101,O95832
SIDG04784,CLDN2,ENSG00000165376,9075.0,HGNC:2041,CLDN2,NM_001171092,P57739
SIDG04785,CLDN3,ENSG00000165215,1365.0,HGNC:2045,CLDN3,NM_001306,O15551
SIDG04786,CLDN4,ENSG00000189143,1364.0,HGNC:2046,CLDN4,NM_001305,O14493
SIDG04787,CLDN5,ENSG00000184113,7122.0,HGNC:2047,CLDN5,NM_003277,O00501
SIDG04788,CLDN6,ENSG00000184697,9074.0,HGNC:2048,CLDN6,NM_021195,P56747
SIDG04789,CLDN7,ENSG00000181885,1366.0,HGNC:2049,CLDN7,NM_001307,O95471
SIDG04790,CLDN8,ENSG00000156284,9073.0,HGNC:2050,CLDN8,NM_199328,P56748
SIDG04791,CLDN9,ENSG00000213937,9080.0,HGNC:2051,CLDN9,NM_020982,O95484
SIDG04792,CLDN10,ENSG00000134873,9071.0,HGNC:2033,CLDN10,NM_006984,P78369
SIDG04793,,ENSG00000223392,100874194.0,HGNC:39907,CLDN10-AS1,NR_046533,
SIDG04794,CLDN11,ENSG00000013297,5010.0,HGNC:8514,CLDN11,NM_005602,O75508
SIDG04795,,,,HGNC:29648,CLDN11CL,,
SIDG04796,CLDN12,ENSG00000157224,9069.0,HGNC:2034,CLDN12,NM_012129,P56749
SIDG04797,CLDN14,ENSG00000159261,23562.0,HGNC:2035,CLDN14,NM_144492,O95500
SIDG04798,CLDN15,ENSG00000106404,24146.0,HGNC:2036,CLDN15,NM_014343,P56746
SIDG04799,CLDN16,ENSG00000113946,10686.0,HGNC:2037,CLDN16,NM_006580,Q9Y5I7
SIDG04800,CLDN17,ENSG00000156282,26285.0,HGNC:2038,CLDN17,NM_012131,P56750
SIDG04801,CLDN18,ENSG00000066405,51208.0,HGNC:2039,CLDN18,NM_001002026,P56856
SIDG04802,CLDN19,ENSG00000164007,149461.0,HGNC:2040,CLDN19,NM_148960,Q8N6F1
SIDG04803,CLDN20,ENSG00000171217,49861.0,HGNC:2042,CLDN20,NM_001001346,P56880
SIDG04804,CLDN22,ENSG00000177300,53842.0,HGNC:2044,CLDN22,NM_001111319,Q8N7P3
SIDG04805,CLDN23,ENSG00000253958,137075.0,HGNC:17591,CLDN23,NM_194284,Q96B33
SIDG04806,CLDN24,ENSG00000185758,100132463.0,HGNC:37200,CLDN24,XM_001714660,A6NM45
SIDG04807,CLDN25,ENSG00000228607,644672.0,HGNC:37218,CLDN25,NM_001101389,C9JDP6
SIDG04808,,ENSG00000234469,100288814.0,HGNC:51259,CLDN34,NM_001195081,H7C241
SIDG04809,CLDND1,ENSG00000080822,56650.0,HGNC:1322,CLDND1,NM_019895,Q9NY35
SIDG04810,CLDND2,ENSG00000160318,125875.0,HGNC:28511,CLDND2,NM_152353,Q8NHS1
SIDG04811,CLEC1A,ENSG00000150048,51267.0,HGNC:24355,CLEC1A,NM_016511,Q8NC01
SIDG04812,CLEC1B,ENSG00000165682,51266.0,HGNC:24356,CLEC1B,NM_016509,Q9P126
SIDG04813,CLEC2A,ENSG00000188393,387836.0,HGNC:24191,CLEC2A,NM_207375,Q6UVW9
SIDG04814,CLEC2B,ENSG00000110852,9976.0,HGNC:2053,CLEC2B,NM_005127,Q92478
SIDG04815,CLEC2D,ENSG00000069493,29121.0,HGNC:14351,CLEC2D,NM_013269,Q9UHP7
SIDG04816,CLEC2L,ENSG00000236279,154790.0,HGNC:21969,CLEC2L,NM_001080511,P0C7M8
SIDG04817,CLEC3A,ENSG00000166509,10143.0,HGNC:2052,CLEC3A,NM_005752,O75596
SIDG04818,CLEC3B,ENSG00000163815,7123.0,HGNC:11891,CLEC3B,NM_003278,P05452
SIDG04819,CLEC4A,ENSG00000111729,50856.0,HGNC:13257,CLEC4A,NM_194450,Q9UMR7
SIDG04820,CLEC4C,ENSG00000198178,170482.0,HGNC:13258,CLEC4C,NM_203503,Q8WTT0
SIDG04821,CLEC4D,ENSG00000166527,338339.0,HGNC:14554,CLEC4D,NM_080387,Q8WXI8
SIDG04822,CLEC4E,ENSG00000166523,26253.0,HGNC:14555,CLEC4E,NM_014358,Q9ULY5
SIDG04823,CLEC4F,ENSG00000152672,165530.0,HGNC:25357,CLEC4F,NM_173535,Q8N1N0
SIDG04824,CLEC4G,ENSG00000182566,339390.0,HGNC:24591,CLEC4G,NM_198492,Q6UXB4
SIDG04825,,ENSG00000268297,440508.0,HGNC:33502,CLEC4GP1,NR_002931,
SIDG04826,CLEC4M,ENSG00000104938,10332.0,HGNC:13523,CLEC4M,NM_014257,Q9H2X3
SIDG04827,CLEC5A,ENSG00000258227,23601.0,HGNC:2054,CLEC5A,NM_013252,Q9NY25
SIDG04828,CLEC6A,ENSG00000205846,93978.0,HGNC:14556,CLEC6A,NM_001007033,Q6EIG7
SIDG04829,CLEC7A,ENSG00000172243,64581.0,HGNC:14558,CLEC7A,NM_197954,Q9BXN2
SIDG04830,CLEC9A,ENSG00000197992,283420.0,HGNC:26705,CLEC9A,NM_207345,Q6UXN8
SIDG04831,CLEC10A,ENSG00000132514,10462.0,HGNC:16916,CLEC10A,NM_006344,Q8IUN9
SIDG04832,CLEC11A,ENSG00000105472,6320.0,HGNC:10576,CLEC11A,NM_002975,Q9Y240
SIDG04833,CLEC12A,ENSG00000172322,160364.0,HGNC:31713,CLEC12A,NM_138337,Q5QGZ9
SIDG04834,,ENSG00000231560,400002.0,HGNC:53407,CLEC12A-AS1,NR_135047,
SIDG04835,CLEC12B,ENSG00000256660,387837.0,HGNC:31966,CLEC12B,NM_205852,Q2HXU8
SIDG04836,CLEC14A,ENSG00000176435,161198.0,HGNC:19832,CLEC14A,NM_175060,Q86T13
SIDG04837,CLEC16A,ENSG00000038532,23274.0,HGNC:29013,CLEC16A,NM_015226,Q2KHT3
SIDG04838,CLEC17A,ENSG00000187912,388512.0,HGNC:34520,CLEC17A,NM_207390,Q6ZS10
SIDG04839,CLEC18A,ENSG00000157322,348174.0,HGNC:30388,CLEC18A,NM_182619,A5D8T8
SIDG04840,CLEC18B,ENSG00000140839,497190.0,HGNC:33849,CLEC18B,NM_001011880,Q6UXF7
SIDG04841,CLEC18C,ENSG00000157335,283971.0,HGNC:28538,CLEC18C,NM_173619,Q8NCF0
SIDG04842,CLEC19A,ENSG00000261210,728276.0,HGNC:34522,CLEC19A,NM_001256720,Q6UXS0
SIDG04843,,ENSG00000188585,400797.0,HGNC:34521,CLEC20A,,Q6ZU45
SIDG04844,CLECL1,ENSG00000184293,160365.0,HGNC:24462,CLECL1,NM_172004,Q8IZS7
SIDG04845,CLGN,ENSG00000153132,1047.0,HGNC:2060,CLGN,NM_004362,O14967
SIDG04846,,ENSG00000162994,130162.0,HGNC:26453,CLHC1,NM_152385,Q8NHS4
SIDG04847,CLIC1,ENSG00000213719,1192.0,HGNC:2062,CLIC1,NM_001288,O00299
SIDG04848,,ENSG00000231313,390363.0,HGNC:32691,CLIC1P1,NG_021736,
